Array	IE_Pseudomonadota_motif_7_1	IE_Pseudomonadota_motif_7_1_pvalue
MH310935.1_Array_2	99	0.361644033933
MN419153.1_Array_2	99	0.361644033933
MW794150.1_Array_2	100	0.361644033933
MW794151.1_Array_2	96	0.361644033933
MW794152.1_Array_2	99	0.361644033933
MW794153.1_Array_2	100	0.361644033933
MW794154.1_Array_2	99	0.361644033933
MW794155.1_Array_2	99	0.361644033933
MW794156.1_Array_2	99	0.361644033933
MW794157.1_Array_2	99	0.361644033933
MW794158.1_Array_2	99	0.361644033933
MW794159.1_Array_2	99	0.361644033933
MW794160.1_Array_2	99	0.361644033933
MW794161.1_Array_2	99	0.361644033933
MW794162.1_Array_2	99	0.361644033933
MW794163.1_Array_2	99	0.361644033933
MW794164.1_Array_2	99	0.361644033933
MW794166.1_Array_2	99	0.361644033933
MW794167.1_Array_2	99	0.361644033933
MW794169.1_Array_2	99	0.361644033933
MW794170.1_Array_2	99	0.361644033933
MW794171.1_Array_2	99	0.361644033933
MW794172.1_Array_2	99	0.361644033933
MW794173.1_Array_2	99	0.361644033933
MW794177.1_Array_2	99	0.361644033933
MW794179.1_Array_2	99	0.361644033933
MW794180.1_Array_2	99	0.361644033933
MW794182.1_Array_2	99	0.361644033933
MW794183.1_Array_2	99	0.361644033933
MW794188.1_Array_2	99	0.361644033933
MW794190.1_Array_2	99	0.361644033933
